top - 11:28:34 up  2:29,  2 users,  load average: 0,00, 0,00, 0,07
Tasks: 171 total,   1 running, 170 sleeping,   0 stopped,   0 zombie
%Cpu(s): 10,7 us,  5,3 sy,  0,0 ni, 84,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   3827,3 total,    631,2 free,    289,1 used,   2907,0 buff/cache
MiB Swap:    100,0 total,    100,0 free,      0,0 used.   3371,9 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  455 root      20   0  955960  43468  18332 S   0,0   1,1   0:10.73 containerd
  482 root      20   0   40104   7260   6504 S   0,0   0,2   0:00.08 lightdm
  497 root      20   0   41432   8388   6800 S   0,0   0,2   0:00.15 polkitd
  501 root      20   0   10728   5384   4832 S   0,0   0,1   0:00.02 sshd
  512 root      20   0   11136   3212   2596 S   0,0   0,1   0:02.27 wpa_suppl+
  537 root      20   0    5620   2740   2292 S   0,0   0,1   0:00.04 login
  561 root      20   0 1007688  83888  34068 S   0,0   2,1   1:36.62 dockerd
  587 root      20   0   32400   7412   6644 S   0,0   0,2   0:00.07 lightdm
  604 pi        20   0   14848   7488   6384 S   0,0   0,2   0:08.03 systemd
  607 pi        20   0   16828   1728     88 S   0,0   0,0   0:00.00 (sd-pam)
  634 pi        20   0   56852  13128  11768 S   0,0   0,3   0:02.36 lxsession
  642 pi        20   0    6672   3528   3020 S   0,0   0,1   0:07.93 dbus-daem+
  703 pi        20   0    4520    288      0 S   0,0   0,0   0:00.05 ssh-agent
  730 pi        20   0   43612   6332   5648 S   0,0   0,2   0:00.15 gvfsd
  738 pi        20   0   56756   6492   5900 S   0,0   0,2   0:00.04 gvfsd-fuse
  745 pi        20   0   64688  17040  13144 S   0,0   0,4   0:05.27 openbox
  749 pi        20   0   47684  10996   9972 S   0,0   0,3   0:00.05 lxpolkit
  755 pi        20   0  424920  31604  24632 S   0,0   0,8   0:15.02 lxpanel
  768 pi        20   0    4520    288      0 S   0,0   0,0   0:00.00 ssh-agent
  773 pi        20   0    4872   1000    816 S   0,0   0,0   0:00.01 xcompmgr
  799 pi        20   0   52032  29604  16320 S   0,0   0,8   0:01.17 applet.py
  815 pi         9 -11  367972   8980   7732 S   0,0   0,2   0:00.21 pulseaudio
  816 pi        20   0    8492   3616   2708 S   0,0   0,1   0:00.10 bash
  842 rtkit     21   1   23188   2204   2012 S   0,0   0,1   0:00.16 rtkit-dae+
  875 pi        20   0   28696   6664   6120 S   0,0   0,2   0:00.04 menu-cach+
  876 pi        20   0   79980  10764   9420 S   0,0   0,3   0:06.37 gvfs-udis+
  898 pi        20   0   42512  16088  13400 S   0,0   0,4   0:01.00 vncserver+
  912 pi        20   0   56228   7104   6380 S   0,0   0,2   0:00.04 gvfs-afc-+
  917 pi        20   0   40300   4724   4324 S   0,0   0,1   0:00.04 gvfs-mtp-+
  922 pi        20   0   41868   4944   4456 S   0,0   0,1   0:00.04 gvfs-gpho+
  929 pi        20   0   32304  15464  13852 S   0,0   0,4   0:00.13 vncserver+
  930 pi        20   0   40304   4360   4044 S   0,0   0,1   0:00.02 gvfs-goa-+
  938 root      20   0  802820   7260   5744 S   0,0   0,2   0:01.39 container+
  951 pi        20   0   55820   9048   7960 S   0,0   0,2   0:01.44 gvfsd-tra+
  963 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/u+
  965 root      20   0    2140    128      0 S   0,0   0,0   0:00.00 hciattach
  980 root      20   0    9536   3376   3092 S   0,0   0,1   0:00.05 bluetoothd
  993 root      20   0     188      4      0 S   0,0   0,0   0:00.06 dumb-init
  999 root      10 -10       0      0      0 S   0,0   0,0   0:00.00 krfcommd
 1248 root      20   0   28476   7312   5812 S   0,0   0,2   0:00.05 cupsd
 1249 root      20   0   40496   8924   7884 S   0,0   0,2   0:00.05 cups-brow+
 1355 lp        20   0   13832   4616   4032 S   0,0   0,1   0:00.01 dbus
 1356 colord    20   0   49796  12436   9472 S   0,0   0,3   0:00.37 colord
 1797 pi        20   0   31340   5200   4728 S   0,0   0,1   0:27.56 gvfsd-met+
 1817 pi        20   0  129292  32376  24244 S   0,0   0,8   2:22.81 pcmanfm
 1860 pi        20   0   25996   4508   4060 S   0,0   0,1   0:00.88 dconf-ser+
